#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   1   1 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   2 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   3 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   4 H    0.00000   0.00000   0.00000   0.00000   4   1   1   4  0.00000  2.83000                  0             0.000
   1   5 H    0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   1   6 H    0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   1   7 H    0.00000   0.00000   0.00000   0.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   2   3 He   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   4 He   0.00000   0.00000   0.00000   0.00000  16   1   1  16  0.00000 29.89000                  0             0.000
   2   5 He   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   6 He   0.00000   0.00000   0.00000   0.00000   8   1   1   2  0.00000  1.79700                  0             0.000
   2   7 He   0.00000   0.00000   0.00000   0.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   2   8 He   0.00000   0.00000   0.00000   0.00000   5   1   1   2  0.00000  3.10000                  0             0.000
   2   9 He   8.22532   5.87877   0.00000   1.00000   6   1   1   2  0.00000  1.10000                  0             0.000
   2  10 He   7.01710   4.26273   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   3   3 Li   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   3   4 Li   0.00000   0.00000   0.00000   0.00000   4   1   1   4  0.00000  2.85000                  0             0.000
   3   5 Li   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   3   6 Li   0.00000   0.00000   0.00000   0.00000  14   1   1  13  0.00000 26.59000                  0             0.000
   3   7 Li   0.00000   0.00000   0.00000   0.00000  10   1   1   8  0.00000 11.24000                  0             0.000
   3   8 Li   0.00000   0.00000   0.00000   0.00000  11   1   1   5  0.00000  5.40000                  0             0.000
   3   9 Li   8.22532   5.87877   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   3  10 Li   7.01710   4.26273   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   3  11 Li   6.06610   3.11281   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   3  12 Li   5.30513   2.28636   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   3  13 Li   4.68790   1.68928   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4   5 Be   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4   6 Be   0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   4   7 Be   0.00000   0.00000   0.00000   0.00000   9   1   1   9  0.00000 17.00000                  0             0.000
   4   8 Be   0.00000   0.00000   0.00000   0.00000  28   1   1  17  0.00000 22.00000                  0             0.000
   4   9 Be   8.22532   5.87877  -8.53831  15.70097  33  31   7   5 22.40000  3.04900  1.115E-02 *     0             2.121
   4  10 Be   7.01710   4.26273  -6.61164  10.20027  41  17   7   8 13.85000  7.54200  4.474E-03 *     0             2.109
   4  11 Be   6.06610   3.11281  -8.71738   7.48157  34  17   7   5  7.10000  3.40000  1.808E-02 *     0             1.638
   4  12 Be   5.30513   2.28636  -3.93029   5.43625  30  17   7   4 12.10000  2.71500  1.244E-02 *     0             1.590
   4  13 Be   4.68790   1.68928   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  14 Be   4.18155   1.25817   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  15 Be   3.76221   0.94944   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  16 Be   3.41219   0.73239   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   6 B    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   7 B    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   8 B    0.00000   0.00000   0.00000   0.00000   5   1   1   5  0.00000 10.61900                  0             0.000
   5   9 B    8.22532   5.87877  -6.41686  16.73502  22  21  14   1 18.60000  0.00000  9.240E-03       0             2.078
   5  10 B    7.01710   4.26273 -12.97162  12.45762  41  24  14  12  8.07000  6.12910  1.345E-02 *     0             1.771
   5  11 B    6.06610   3.11281  -6.53686   9.45771  41  30  14   8 14.56300  7.97784  3.318E-03 *     0             2.155
   5  12 B    5.30513   2.28636  -9.14728   7.70079  62  48  16  15 11.33700  6.00000  5.117E-03 *     0             2.012
   5  13 B    4.68790   1.68928  -5.31357   4.51404  23  15  14   1  7.51600  0.00000  1.451E-02       0             0.000
   5  14 B    4.18155   1.25817   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   5  15 B    3.76221   0.94944   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  16 B    3.41219   0.73239   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   5  17 B    3.11819   0.58428   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  18 B    2.87005   0.48690   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  19 B    2.65993   0.42461   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  20 B    2.48174   0.38423   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   5  21 B    2.33072   0.35565   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6   8 C    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6   9 C    8.22532   5.87877   0.00000   1.00000   7   1   1   4  0.00000  4.40000                  0             0.000
   6  10 C    7.01710   4.26273   0.00000   1.00000   8   1   1   2  0.00000  3.35370                  0             0.000
   6  11 C    6.06610   3.11281  -6.88853   9.11002  37  28  12  14 13.40000  9.20000  3.176E-03 *     0             2.044
   6  12 C    5.30513   2.28636   1.01274   6.60697  62  37   7   6 21.60000  9.93000  6.727E-03 *     0             1.902
   6  13 C    4.68790   1.68928  -2.07672   4.83563  73  30   9   5 13.76000  6.86400  4.069E-03 *     0             1.957
   6  14 C    4.18155   1.25817  -0.18842   3.26637  46  23   7  12 12.96300 10.44900  6.376E-03 *     0             1.904
   6  15 C    3.76221   0.94944  -2.66496   2.33888  31  18   7   6  7.41400  4.78000  1.925E-02 *     0             2.204
   6  16 C    3.41219   0.73239   0.00000   1.00000   7   1   1   2  0.00000  1.76600                  0             0.000
   6  17 C    3.11819   0.58428   0.00000   1.00000  19   1   1   7  0.00000  3.93000                  0             0.000
   6  18 C    2.87005   0.48690   0.00000   1.00000   4   1   1   2  0.00000  1.58800                  0             0.000
   6  19 C    2.65993   0.42461   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   6  20 C    2.48174   0.38423   0.00000   1.00000   2   1   1   2  0.00000  1.61800                  0             0.000
   6  21 C    2.33072   0.35565   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  22 C    2.20315   0.33206   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  23 C    2.09585   0.30958   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  10 N    7.01710   4.26273   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  11 N    6.06610   3.11281   0.00000   1.00000   8   1   1   2  0.00000  0.73000                  0             0.000
   7  12 N    5.30513   2.28636  -7.25913   5.21845  24  14   7   7  6.40000  3.55800  2.989E-02       0             1.848
   7  13 N    4.68790   1.68928  -2.09146   4.17055  54  19   7  12 11.74000  9.47600  4.184E-03 *     0             1.825
